dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
648_fri_c1_250_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.1,
649_fri_c0_500_5,success,5,lso,0.7835838408264924,0.4700184484397301,31,374.7149889469147,,0.1,(-14.642672331454943 add (inv((2.1659880069992754 add (-0.041390146988522405 mul (x_2 mul x_2)))) mul ((1.0210389437591427 mul x_0) sub ((-1.1698033696806 mul x_3) sub ((0.5760984690529181 mul x_4) sub (-31.990589777059864 mul sin((1.419329064504865 add (0.16985844943758652 mul x_1)))))))))
650_fri_c0_500_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.1,
651_fri_c0_100_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
653_fri_c0_250_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
654_fri_c0_500_10,success,10,lso,0.8087902193622711,0.4100157573332916,47,777.8350653648376,,0.1,(-0.9421797569192261 add (inv((77.85098440189412 add (-0.3364908733872147 mul x_5))) mul ((1.1507869170200558 mul x_6) sub ((-45.3479526191739 mul x_3) sub ((6.653957660089004 mul abs((0.46681609122449585 add (8.885155341199885 mul x_2)))) add ((22.56460727191414 mul x_4) add ((64.8012702369559 mul arctan((2.324416588855309 add (1.948028748721324 mul x_1)))) sub (0.8176187468520011 mul ((3.9237076656606273 add (-5.205582357798879 mul x_0)))**2))))))))
656_fri_c1_100_5,success,5,lso,0.8796425066297909,0.3618851159177739,32,360.52146458625793,,0.1,(-0.3448678889174005 add ((0.3926576410178045 mul x_3) add ((0.23143926676851942 mul x_4) add (1.239702543979934 mul sin(((0.37669618686794953 mul x_1) add (0.5790129858330217 mul abs(((-0.646499309791454 mul x_2) add (4.999238980840788 mul ((0.8138936777570608 add (0.36543062379683716 mul x_0)))**2))))))))))
657_fri_c2_250_10,success,10,lso,0.8314394557297604,0.4240381824071712,57,757.2991003990173,,0.1,(0.4558538122099204 add (exp((-3.264632141626337 add (1.0887570707163061 mul x_0))) mul ((-0.8684578130890191 mul (((0.12540037730827142 mul x_4) sub (1.3363217873324784 mul x_2)) mul x_3)) sub (-0.4091986038670445 mul (((-0.09222968781477199 mul x_3) add (3.5768420134113397 mul arctan((0.08313204068741979 add (0.1661759244660412 mul (x_1 mul exp((0.9077270458419596 add (-0.05709543694594545 mul x_3))))))))) mul ((-0.5143332313805338 mul ((5.123769531881423 add (-1.625173152250781 mul (x_1 mul x_0))))**3) sub (-1.8324176810222799 mul x_4)))))))
658_fri_c3_250_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
659_sleuth_ex1714,success,7,lso,0.37171267742579506,1771.4930658643884,44,889.8451161384583,,0.1,(12368.409424682277 add ((-1.305525301334729 mul (((0.09750652944305584 mul x_1) add (-6.129820486422649 mul arctan((-0.3629397897797787 add (0.11869072748901692 mul x_5))))) mul abs((-214.89290220301095 add (17.9560102810883 mul x_2))))) add ((-13.026425923691013 mul ((5.889206483671893 add (-0.2466586478057342 mul x_3)))**2) add (0.3725148519117738 mul (((-2.6948182029994503 mul x_4) sub (-58.83098776753357 mul x_6)) mul x_0)))))
665_sleuth_case2002,success,6,lso,-0.03306724762541435,8.460301079443484,38,491.9873652458191,,0.1,(10.340727050135175 add ((5.853801051113567 mul arctan((-21.55005903793731 add (2.427499748413817 mul x_5)))) add ((-2.0131192762402823 mul x_0) sub (-0.013634289445801449 mul (((3.000978994678553 mul x_2) sub (0.03202507324002187 mul x_4)) mul ((-2.3704587368056114 add (-56.61789565453137 mul (inv((-23.884804369340966 add (27.704722614252656 mul x_3))) mul x_1))))**2)))))
666_rmftsa_ladata,success,10,lso,0.5315379970856033,2.364822118207645,33,436.17645239830017,,0.1,(3.021399842621387 add ((0.724993793261478 mul (inv((34.5886443886083 add (-0.1393247451985973 mul x_0))) mul abs(((-12.502737067794508 mul cos((9.888758216260886 add (-85.89366651389585 mul x_2)))) add (-0.7394689846299085 mul x_1))))) sub (0.6165948934851716 mul cos((12.572258792026826 add (56.72819501402303 mul x_3))))))
678_visualizing_environmental,success,3,lso,0.024310130763063542,3.8113292665429332,37,346.1198093891144,,0.1,(12.471181403482618 add ((1.2596672621714904 mul sin((-1.840392653215786 add (-0.15547203301051327 mul x_1)))) sub ((0.06686036083617733 mul x_0) add (-18.565105555786033 mul (sin((-4.391259060466487 add (-76.61506772493574 mul x_2))) mul cos((-8.040669945493825 add (-0.601749235139372 mul (inv((0.12138231759222912 add (-11.228522102541426 mul x_0))) mul x_2)))))))))
687_sleuth_ex1605,success,5,lso,0.1444674084948454,12.01100259106444,59,488.1436998844147,,0.1,(41.12253460699665 add ((0.765303893815817 mul x_4) sub ((-0.682154517976321 mul (((-2.4633895734792146 mul x_1) add (183.343212818695 mul arctan((-0.4009519957834182 add (59.99436191971909 mul x_2))))) mul ((-0.0016849637071817188 mul ((28.077711409611283 add (-0.28624424255306974 mul x_2)))**2) sub (-3.290854486383318 mul exp((2.535174331863494 add (-0.8607927034478501 mul x_0))))))) sub ((-0.08862401767924727 mul x_3) sub ((-0.2 mul x_7) add ((-5.0 mul x_5) sub (-0.5258166965895591 mul abs((106.99062673093314 add (-0.8424458797708524 mul x_4))))))))))
690_visualizing_galaxy,success,4,lso,0.3505008142341186,74.54309742670048,53,683.6879236698151,,0.1,(1580.625422025203 add ((0.83217964191479 mul ((6.760275860180821 add (-0.2739003748764343 mul x_1)))**2) sub ((-0.2462324048775616 mul (((1.2966082943242039 mul ((7.2632256748981625 add (15.682172940630611 mul (sin((-5.165715325324762 add (-6.312528580514385 mul x_2))) mul sin((5.331725902395361 add (8.264732735239651 mul x_0)))))))**2) sub (4.168380708244826 mul x_3)) mul ((0.1464802167913857 mul x_0) add (-0.5 mul x_5)))) sub (0.7000000000000001 mul (x_4 mul (x_2 mul x_8))))))
695_chatfield_4,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.1,
712_chscase_geyser1,success,2,lso,0.793732537777687,5.625078773838434,25,262.0606598854065,,0.1,(32.436004909987204 add ((11.05383879822179 mul x_1) sub ((0.0900551722883262 mul x_0) add (5.836906159452165 mul (sin((-8.45896369580763 add (13.535180275262677 mul x_1))) mul cos((12.562943744958426 add (-8.664234494917467 mul x_0))))))))
feynman_III_10_19,success,4,lso,0.9838778679344669,0.8426894113680377,25,486.0670716762543,,0.1,(-1.9672148664307831 add (((0.6922202910010781 add (0.18531589685052155 mul x_0)))**2 mul ((1.0055612377288563 mul x_3) add ((1.03310343816623 mul x_2) add (38.57479394926382 mul inv((12.466845797652928 add (-1.5559912583955444 mul x_1))))))))
feynman_III_12_43,success,2,lso,0.9957871052345129,0.056544414514276366,10,150.2007031440735,,0.1,(-0.03250492572296154 add (x_0 mul abs((-0.010758479907793632 add (0.16938161756474962 mul x_1)))))
feynman_III_13_18,success,4,lso,0.9716801175848186,81.19320189279343,24,310.39630031585693,,0.1,(-9.894962466422111 add (((-0.7735945232192513 add (-0.25127584907266354 mul x_2)))**2 mul (((0.8451799643670451 add (4.25336348858811 mul x_1)))**2 mul exp(((0.3361710774305384 mul x_0) sub (0.4264452246903001 mul x_3))))))
feynman_III_14_14,success,5,lso,0.9867607546704441,0.9299917096834301,28,368.39450764656067,,0.1,(0.9007831596800718 add (((0.41757644895678336 add (-4.611606939367476 mul x_1)))**2 mul (inv((-16.74245077892116 add (22.837096712275958 mul x_3))) mul exp(((1.2774237625190894 mul x_2) sub ((1.6706530184044823 mul x_4) sub (0.33648791379124154 mul x_0)))))))
feynman_III_15_12,success,3,lso,0.9949406145342131,0.3445931708142779,29,560.4962887763977,,0.1,(0.040589179917966844 add (((-0.11820976197189666 add (-0.040303575860884254 mul x_0)))**2 mul (((14.01443534290694 mul cos((7.8283544587998275 add (-17.23875729572088 mul (x_2 mul cos((-7.854540904351735 add (0.02908958531919332 mul x_1)))))))) add (0.5 mul x_5)))**2))
feynman_III_15_14,success,3,lso,0.9338292512469286,0.0023819372122662334,22,10.606029748916626,,0.1,(0.002113913623613724 add (inv((-25.727988672447058 add (107.34658723504333 mul x_1))) mul exp(((-38.60250492284195 mul cos((4.693026998683688 add (0.0323260905839468 mul x_2)))) add (0.7895840484340079 mul x_0)))))
feynman_III_15_27,success,3,lso,0.9939805603153955,0.1830023423199195,23,246.2677707672119,,0.1,(0.023968376870644428 add (inv((-0.3054142623304443 add (2.044696261174034 mul x_2))) mul ((21.962010563335813 mul exp(((-0.987964967928034 mul x_1) add (0.37536977005175587 mul x_0)))) sub (-2.4246834338773815 mul x_0))))
