dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
feynman_II_6_15b,success,4,lso,0.979905381754768,0.004513852874322939,29,159.75944137573242,,0.01,(0.0015604272855583882 add (inv(((-0.0838435810730541 mul x_1) add (0.0004903173279150064 mul ((-0.48694916022062257 add (-24.346110817630887 mul x_3)))**2))) mul (inv((2.1209654825359276 add (27.735514996212444 mul x_0))) mul sin((3.018450992012878 add (-1.9493222077224746 mul x_2))))))
feynman_II_8_31,success,2,lso,0.9999951623475833,0.02653092772057187,15,7.274844646453857,,0.01,(-0.020504100448759822 add (((0.0013205940445194476 add (0.6577550967181042 mul x_1)))**2 mul abs((0.008200190258862712 add (1.1543115777949062 mul x_0)))))
feynman_II_8_7,success,3,lso,0.9855366715620391,0.006579926211624646,22,16.435166835784912,,0.01,(-0.004100366255125119 add (exp(((0.572346409247747 mul x_0) add (6.478000955502114 mul exp((-0.8447753900462298 add (-0.38195506232873083 mul x_2)))))) mul inv((6.211028920113035 add (92.4326891426153 mul x_1)))))
feynman_I_10_7,success,3,lso,0.9953800471562012,0.07972375726765789,16,9.841674089431763,,0.01,(-0.24529650294343103 add (inv((7.998582683096361 add (0.1271177668556781 mul x_2))) mul ((9.29129056300751 mul x_0) add (1.2648549098068291 mul x_1))))
feynman_I_11_19,success,6,lso,0.9801268982210045,1.2492421306698103,25,454.68078684806824,,0.01,(-9.46691745296858 add ((1.0221001818267923 mul (x_2 mul x_5)) sub ((0.04680138748826932 mul x_2) sub ((3.028831549697243 mul x_0) add ((2.9455620544729233 mul x_3) sub (-1.0509935803354737 mul (x_4 mul x_1)))))))
feynman_I_12_1,success,2,lso,0.9999908698795091,0.013332037755240873,15,10.9125657081604,,0.01,(-0.051643964470420564 add ((0.023058438935812005 mul x_0) sub ((-0.019666337551187067 mul x_1) sub (0.9913088701879388 mul (x_0 mul x_1)))))
feynman_I_12_11,success,5,lso,0.974655022853798,3.9402580738738577,30,511.02448630332947,,0.01,(5.340130380137581 add ((((0.5100672526099189 add (0.19986251652638812 mul x_0)))**2 mul ((0.45727942181819625 mul x_1) sub (-8.090675892515979 mul cos((1.6325592148811212 add (-1.0387504649827695 mul x_4)))))) mul abs((0.20905692404043877 add (0.2647780143350664 mul (x_3 mul x_2))))))
feynman_I_12_2,success,4,lso,0.9214715550057246,0.034319925264156746,21,331.5674533843994,,0.01,(0.014652430832865854 add (exp((-1.1126363515181283 add (0.3749006208369774 mul x_0))) mul exp(((-1.4747285577804226 mul x_3) add ((0.39428908322195094 mul x_1) add (-0.45816898484439417 mul x_2))))))
feynman_I_12_4,success,3,lso,0.9867544652930694,0.003160784253690843,22,105.61091256141663,,0.01,(0.0004806363799680321 add (inv((0.22805266966197696 add (1.919851785038146 mul x_1))) mul exp(((-0.4208157408411581 mul sqrt((-21.67064203793989 add (36.70697402757364 mul x_2)))) add (0.2924040900195824 mul x_0)))))
feynman_I_12_5,success,2,lso,0.9999926682814722,0.013091127262450495,15,21.16181516647339,,0.01,(0.06547409485977979 add ((-0.02790157809188867 mul x_1) add ((-0.013041573230105075 mul x_0) sub (-1.0061586569879994 mul (x_0 mul x_1)))))
feynman_I_13_12,success,5,lso,0.9662295395230767,1.7055010282522267,34,303.45498967170715,,0.01,(0.026944539449917874 add (((-1.0022579685717257 mul x_3) add (1.0155589907237466 mul x_2)) mul (exp(((0.27081047594623436 mul x_0) add (0.2824697684655669 mul x_1))) mul (inv((0.02639344034642451 add (0.41755755406518386 mul x_3))) mul exp(((0.3286149627703948 mul x_4) add (-0.4415743313292033 mul x_2)))))))
feynman_I_13_4,success,4,lso,0.9902257937284561,2.5611024695981404,25,354.32480001449585,,0.01,(1.6336425921640298 add (((0.1189951649843057 mul x_1) sub ((-0.12340855577907449 mul x_2) add (0.2942420108519686 mul arctan((2.2046242563838585 add (-0.5436796076099342 mul x_3)))))) mul abs((0.9029802592330792 add (-25.107198408634382 mul x_0)))))
